Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
11.1,-1.69291,-1.48083,,
11.2,-1.74584,-1.53271,,
11.3,-1.79751,-1.58166,,
11.4,-1.84285,-1.62620,,
11.5,-1.88156,-1.66521,,
11.6,-1.91461,-1.69791,,
11.7,-1.94095,-1.72426,,
11.8,-1.96050,-1.74422,,
11.9,-1.97437,-1.75825,,
12.0,-1.98157,-1.76657,,
12.1,-1.98469,-1.77114,,
12.2,-1.98344,-1.76963,,
12.3,-1.97863,-1.76631,,
12.4,-1.97227,-1.76097,,
12.5,-1.96621,-1.75461,,
12.6,-1.95878,-1.74742,,
12.7,-1.95117,-1.73977,,
12.8,-1.94270,-1.73122,,
12.9,-1.93373,-1.72139,,
13.0,-1.92317,-1.70918,,
13.1,-1.90857,-1.69395,,
13.2,-1.88825,-1.67523,,
13.3,-1.86567,-1.65392,,
13.4,-1.84154,-1.63101,,
13.5,-1.81766,-1.60801,,
13.6,-1.79498,-1.58586,,
13.7,-1.77393,-1.56501,,
13.8,-1.75527,-1.54560,,
13.9,-1.73727,-1.52693,,
14.0,-1.71961,-1.50870,,
14.1,-1.70077,-1.49017,,
14.2,-1.68201,-1.47127,,
14.3,-1.66266,-1.45146,,
14.4,-1.64243,-1.43096,,
14.5,-1.61989,-1.40981,,
14.6,-1.59774,-1.38885,,
14.7,-1.57741,-1.36875,,
14.8,-1.55886,-1.35013,,
14.9,-1.54195,-1.33310,,
15.0,-1.52649,-1.31707,,
15.1,-1.51227,-1.30109,,
15.2,-1.49645,-1.28409,,
15.3,-1.47696,-1.26560,,
15.4,-1.45560,-1.24566,,
15.5,-1.43478,-1.22508,,
15.6,-1.41378,-1.20432,,
15.7,-1.39355,-1.18377,,
15.8,-1.37320,-1.16338,,
15.9,-1.35230,-1.14336,,
16.0,-1.33261,-1.12421,,
16.1,-1.31433,-1.10660,,
16.2,-1.29814,-1.09130,,
16.3,-1.28557,-1.07881,,
16.4,-1.27650,-1.06905,,
16.5,-1.26999,-1.06127,,
16.6,-1.26466,-1.05424,,
16.7,-1.25773,-1.04637,,
16.8,-1.24847,-1.03633,,
16.9,-1.23601,-1.02311,,
17.0,-1.21877,-1.00662,,
17.1,-1.19759,-0.98782,,
17.2,-1.17582,-0.96838,,
17.3,-1.15664,-0.95044,,
17.4,-1.14089,-0.93538,,
17.5,-1.13011,-0.92384,,
17.6,-1.12277,-0.91504,,
17.7,-1.11717,-0.90769,,
17.8,-1.11093,-0.90002,,
17.9,-1.10218,-0.89076,,
18.0,-1.09008,-0.87935,,
18.1,-1.07575,-0.86620,,
18.2,-1.06060,-0.85208,,
18.3,-1.04612,-0.83803,,
18.4,-1.03239,-0.82472,,
18.5,-1.02006,-0.81299,,
18.6,-1.00938,-0.80319,,
18.7,-1.00235,-0.79559,,
18.8,-0.99779,-0.79005,,
18.9,-0.99357,-0.78604,,
19.0,-0.99118,-0.78282,,
19.1,-0.98930,-0.77928,,
19.2,-0.98520,-0.77464,,
19.3,-0.97824,-0.76865,,
19.4,-0.96960,-0.76195,,
19.5,-0.96201,-0.75625,,
19.6,-0.95752,-0.75221,,
19.7,-0.95834,-0.75559,,
19.8,-0.96591,-0.76358,,
19.9,-0.98120,-0.77770,,
20.0,-1.00218,-0.79685,,
20.1,-1.02670,-0.81932,,
20.2,-1.05204,-0.84243,,
20.3,-1.07602,-0.86379,,
20.4,-1.09427,-0.88139,,
20.5,-1.10617,-0.89397,,
20.6,-1.11382,-0.90132,,
20.7,-1.11538,-0.90510,,
20.8,-1.11224,-0.90174,,
20.9,-1.10682,-0.89639,,
21.0,-1.09729,-0.88863,,
21.1,-1.08692,-0.87973,,
21.2,-1.07816,-0.87085,,
21.3,-1.06894,-0.86276,,
21.4,-1.06213,-0.85602,,
21.5,-1.05776,-0.85018,,
21.6,-1.05307,-0.84458,,
21.7,-1.04722,-0.83845,,
21.8,-1.03987,-0.83116,,
21.9,-1.03094,-0.82280,,
22.0,-1.02116,-0.81394,,
22.1,-1.01164,-0.80557,,
22.2,-1.00361,-0.79907,,
22.3,-0.99895,-0.79475,,
22.4,-0.99975,-0.79599,,
22.5,-1.00476,-0.79999,,
22.6,-1.01299,-0.80664,,
22.7,-1.02238,-0.81437,,
22.8,-1.03041,-0.82158,,
22.9,-1.03649,-0.82726,,
23.0,-1.03979,-0.83138,,
23.1,-1.04072,-0.83473,,
23.2,-1.04362,-0.83865,,
23.3,-1.04936,-0.84437,,
23.4,-1.05689,-0.85265,,
23.5,-1.06816,-0.86358,,
23.6,-1.08261,-0.87683,,
23.7,-1.09776,-0.89182,,
23.8,-1.11418,-0.90756,,
23.9,-1.13144,-0.92314,,
24.0,-1.14596,-0.93721,,
24.1,-1.15863,-0.94871,,
24.2,-1.16745,-0.95649,,
24.3,-1.17028,-0.96116,,
24.4,-1.16905,-0.95899,,
24.5,-1.16311,-0.95428,,
24.6,-1.15443,-0.94709,,
24.7,-1.14491,-0.93857,,
24.8,-1.13564,-0.92962,,
24.9,-1.12719,-0.92067,,
25.0,-1.11847,-0.91127,,
25.1,-1.10894,-0.90100,,
25.2,-1.09702,-0.88894,,
25.3,-1.08338,-0.87481,,
25.4,-1.06650,-0.85841,,
25.5,-1.04714,-0.84022,,
25.6,-1.02718,-0.82097,,
25.7,-1.00704,-0.80156,,
25.8,-0.98759,-0.78269,,
25.9,-0.96993,-0.76472,,
26.0,-0.95318,-0.74766,,
26.1,-0.93682,-0.73156,,
26.2,-0.92120,-0.71648,,
26.3,-0.90711,-0.70250,,
26.4,-0.89486,-0.68958,,
26.5,-0.88318,-0.67707,,
26.6,-0.87133,-0.66394,,
26.7,-0.85762,-0.64923,,
26.8,-0.83994,-0.63233,,
26.9,-0.82011,-0.61351,,
27.0,-0.79924,-0.59403,,
27.1,-0.77800,-0.57517,,
27.2,-0.76139,-0.55890,,
27.3,-0.74783,-0.54608,,
27.4,-0.73885,-0.53692,,
27.5,-0.73564,-0.53051,,
27.6,-0.73180,-0.52451,,
27.7,-0.72594,-0.51732,,
27.8,-0.71547,-0.50715,,
27.9,-0.70131,-0.49449,,
28.0,-0.68489,-0.48032,,
28.1,-0.66977,-0.46658,,
28.2,-0.65710,-0.45530,,
28.3,-0.64799,-0.44803,,
28.4,-0.64607,-0.44412,,
28.5,-0.65014,-0.44859,,
28.6,-0.65847,-0.45530,,
28.7,-0.66916,-0.46423,,
28.8,-0.67970,-0.47363,,
28.9,-0.68876,-0.48217,,
29.0,-0.69574,-0.48878,,
29.1,-0.70045,-0.49325,,
29.2,-0.70165,-0.49571,,
29.3,-0.70155,-0.49715,,
29.4,-0.70210,-0.49917,,
29.5,-0.70428,-0.50347,,
29.6,-0.71183,-0.51156,,
29.7,-0.72502,-0.52364,,
29.8,-0.74229,-0.53900,,
29.9,-0.76118,-0.55536,,
30.0,-0.77894,-0.57022,,
30.1,-0.79088,-0.58092,,
30.2,-0.79622,-0.58766,,
30.3,-0.79435,-0.58411,,
30.4,-0.78481,-0.57610,,
30.5,-0.77054,-0.56275,,
30.6,-0.75212,-0.54531,,
30.7,-0.73018,-0.52509,,
30.8,-0.70794,-0.50329,,
30.9,-0.68516,-0.48058,,
31.0,-0.66177,-0.45749,,
31.1,-0.63843,-0.43389,,
31.2,-0.61481,-0.40985,,
31.3,-0.58946,-0.38513,,
31.4,-0.56435,-0.35951,,
31.5,-0.53854,-0.33285,,
31.6,-0.50961,-0.30470,,
31.7,-0.48044,-0.27548,,
31.8,-0.44928,-0.24505,,
31.9,-0.41798,-0.21463,,
32.0,-0.38689,-0.18487,,
32.1,-0.35816,-0.15707,,
32.2,-0.33276,-0.13167,,
32.3,-0.31099,-0.10906,,
32.4,-0.29075,-0.08849,,
32.5,-0.27281,-0.06919,,
32.6,-0.25476,-0.04966,,
32.7,-0.23466,-0.02911,,
32.8,-0.21162,-0.00654,,
32.9,-0.18735,0.01756,,
33.0,-0.16022,0.04273,,
33.1,-0.13417,0.06719,,
33.2,-0.11059,0.08983,,
33.3,-0.09069,0.10920,,
33.4,-0.07487,0.12529,,
33.5,-0.06370,0.13835,,
33.6,-0.05321,0.15004,,
33.7,-0.04318,0.16145,,
33.8,-0.03084,0.17430,,
33.9,-0.01618,0.18908,,
34.0,0.00129,0.20600,,
34.1,0.02099,0.22450,,
34.2,0.04112,0.24360,,
34.3,0.06067,0.26218,,
34.4,0.07850,0.27925,,
34.5,0.09345,0.29426,,
34.6,0.10578,0.30741,,
34.7,0.11645,0.31936,,
34.8,0.12744,0.33134,,
34.9,0.13978,0.34422,,
35.0,0.15458,0.35884,,
35.1,0.17094,0.37509,,
35.2,0.18959,0.39300,,
35.3,0.20877,0.41183,,
35.4,0.22883,0.43099,,
35.5,0.24857,0.44959,,
35.6,0.26605,0.46644,,
35.7,0.28170,0.48068,,
35.8,0.29260,0.49127,,
35.9,0.29884,0.49836,,
36.0,0.30145,0.50217,,
36.1,0.30258,0.50382,,
36.2,0.30215,0.50439,,
36.3,0.30157,0.50509,,
36.4,0.30291,0.50668,,
36.5,0.30649,0.50950,,
36.6,0.31100,0.51296,,
36.7,0.31566,0.51586,,
36.8,0.31809,0.51777,,
36.9,0.31582,0.51351,,
37.0,0.30855,0.50610,,
37.1,0.29514,0.49424,,
37.2,0.27872,0.47917,,
37.3,0.26054,0.46190,,
37.4,0.24204,0.44391,,
37.5,0.22335,0.42614,,
37.6,0.20590,0.40941,,
37.7,0.19100,0.39421,,
37.8,0.17786,0.38034,,
37.9,0.16593,0.36740,,
38.0,0.15351,0.35432,,
38.1,0.14039,0.34012,,
38.2,0.12518,0.32344,,
38.3,0.10595,0.30377,,
38.4,0.08133,0.28068,,
38.5,0.05490,0.25499,,
38.6,0.02674,0.22797,,
38.7,-0.00232,0.20137,,
38.8,-0.02782,0.17668,,
38.9,-0.04894,0.15455,,
39.0,-0.06753,0.13468,,
39.1,-0.08476,0.11569,,
39.2,-0.10268,0.09609,,
39.3,-0.12433,0.07425,,
39.4,-0.14841,0.04956,,
39.5,-0.17671,0.02192,,
39.6,-0.20855,-0.00788,,
39.7,-0.24003,-0.03781,,
