Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
20.3,0.28520,-1.58206,,
20.4,0.29979,-1.56700,,
20.5,0.31591,-1.55058,,
20.6,0.33430,-1.53267,,
20.7,0.35386,-1.51374,,
20.8,0.37393,-1.49456,,
20.9,0.39344,-1.47655,,
21.0,0.41056,-1.46071,,
21.1,0.42249,-1.44788,,
21.2,0.43139,-1.43739,,
21.3,0.43865,-1.42785,,
21.4,0.44711,-1.41712,,
21.5,0.46018,-1.40403,,
21.6,0.47804,-1.38791,,
21.7,0.49649,-1.37014,,
21.8,0.51718,-1.35192,,
21.9,0.53492,-1.33524,,
22.0,0.54844,-1.32074,,
22.1,0.56000,-1.30891,,
22.2,0.56964,-1.29941,,
22.3,0.57620,-1.29177,,
22.4,0.58192,-1.28526,,
22.5,0.58739,-1.27900,,
22.6,0.59295,-1.27202,,
22.7,0.60142,-1.26356,,
22.8,0.61212,-1.25352,,
22.9,0.62386,-1.24228,,
23.0,0.63660,-1.23092,,
23.1,0.64826,-1.22067,,
23.2,0.65648,-1.21268,,
23.3,0.66157,-1.20771,,
23.4,0.66325,-1.20495,,
23.5,0.66096,-1.20744,,
23.6,0.65666,-1.21134,,
23.7,0.64958,-1.21707,,
23.8,0.64212,-1.22340,,
23.9,0.63562,-1.22965,,
24.0,0.63005,-1.23554,,
24.1,0.62534,-1.24153,,
24.2,0.61940,-1.24849,,
24.3,0.61055,-1.25706,,
24.4,0.59942,-1.26755,,
24.5,0.58715,-1.28035,,
24.6,0.57313,-1.29559,,
24.7,0.55452,-1.31373,,
24.8,0.53276,-1.33425,,
24.9,0.50884,-1.35648,,
25.0,0.48545,-1.37928,,
25.1,0.46330,-1.40156,,
25.2,0.44074,-1.42289,,
25.3,0.42084,-1.44265,,
25.4,0.40310,-1.46107,,
25.5,0.38642,-1.47838,,
25.6,0.37015,-1.49531,,
25.7,0.35323,-1.51295,,
25.8,0.33517,-1.53217,,
25.9,0.31378,-1.55408,,
26.0,0.28881,-1.57910,,
26.1,0.25969,-1.60699,,
26.2,0.22777,-1.63633,,
26.3,0.19658,-1.66548,,
26.4,0.16930,-1.69260,,
26.5,0.14471,-1.71682,,
26.6,0.12394,-1.73845,,
26.7,0.10667,-1.75872,,
26.8,0.08719,-1.77960,,
26.9,0.06458,-1.80275,,
27.0,0.03857,-1.82924,,
27.1,0.00728,-1.85896,,
27.2,-0.02662,-1.89018,,
27.3,-0.06018,-1.92056,,
27.4,-0.08923,-1.94736,,
27.5,-0.11052,-1.96882,,
27.6,-0.12484,-1.98394,,
27.7,-0.13445,-1.99296,,
27.8,-0.13691,-1.99781,,
27.9,-0.13410,-1.99408,,
28.0,-0.12739,-1.98747,,
28.1,-0.11580,-1.97747,,
28.2,-0.10181,-1.96588,,
28.3,-0.08891,-1.95484,,
28.4,-0.07887,-1.94603,,
28.5,-0.07442,-1.94040,,
