Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE


Analytical Results

Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
32.0,-0.34417,-0.90307,,
32.1,-0.33801,-0.89601,,
32.2,-0.32881,-0.88785,,
32.3,-0.32060,-0.87869,,
32.4,-0.31021,-0.86810,,
32.5,-0.29742,-0.85674,,
32.6,-0.28490,-0.84500,,
32.7,-0.27342,-0.83367,,
32.8,-0.26266,-0.82326,,
32.9,-0.25372,-0.81419,,
33.0,-0.24571,-0.80627,,
33.1,-0.23945,-0.79942,,
33.2,-0.23389,-0.79318,,
33.3,-0.22780,-0.78716,,
33.4,-0.22184,-0.78136,,
33.5,-0.21572,-0.77565,,
33.6,-0.21061,-0.77039,,
33.7,-0.20573,-0.76552,,
33.8,-0.20133,-0.76121,,
33.9,-0.19750,-0.75727,,
34.0,-0.19423,-0.75382,,
34.1,-0.19084,-0.75065,,
34.2,-0.18828,-0.74796,,
34.3,-0.18569,-0.74593,,
34.4,-0.18392,-0.74458,,
34.5,-0.18468,-0.74619,,
34.6,-0.18873,-0.74851,,
34.7,-0.19292,-0.75131,,
34.8,-0.19557,-0.75350,,
34.9,-0.19653,-0.75486,,
35.0,-0.19519,-0.75369,,
35.1,-0.19271,-0.75210,,
35.2,-0.19046,-0.75020,,
35.3,-0.18847,-0.74861,,
35.4,-0.18743,-0.74751,,
35.5,-0.18763,-0.74674,,
35.6,-0.18714,-0.74566,,
35.7,-0.18567,-0.74393,,
35.8,-0.18244,-0.74119,,
35.9,-0.17850,-0.73778,,
36.0,-0.17446,-0.73414,,
36.1,-0.17064,-0.73074,,
36.2,-0.16787,-0.72793,,
36.3,-0.16586,-0.72563,,
36.4,-0.16439,-0.72376,,
36.5,-0.16266,-0.72192,,
36.6,-0.16090,-0.71968,,
36.7,-0.15858,-0.71671,,
36.8,-0.15416,-0.71247,,
36.9,-0.14891,-0.70695,,
37.0,-0.14161,-0.69972,,
37.1,-0.13307,-0.69098,,
37.2,-0.12249,-0.68052,,
37.3,-0.11025,-0.66888,,
37.4,-0.09668,-0.65623,,
37.5,-0.08401,-0.64350,,
37.6,-0.07076,-0.63087,,
37.7,-0.05880,-0.61908,,
37.8,-0.04771,-0.60803,,
37.9,-0.03790,-0.59794,,
38.0,-0.02879,-0.58832,,
38.1,-0.02006,-0.57886,,
38.2,-0.01017,-0.56918,,
38.3,0.00030,-0.55940,,
38.4,0.01033,-0.54971,,
38.5,0.01942,-0.54055,,
38.6,0.02802,-0.53220,,
38.7,0.03573,-0.52489,,
38.8,0.04177,-0.51887,,
38.9,0.04649,-0.51419,,
39.0,0.04950,-0.51111,,
39.1,0.05138,-0.50925,,
39.2,0.05122,-0.50982,,
39.3,0.04865,-0.51150,,
39.4,0.04564,-0.51420,,
39.5,0.04196,-0.51780,,
39.6,0.03819,-0.52194,,
39.7,0.03332,-0.52696,,
39.8,0.02756,-0.53262,,
39.9,0.02042,-0.53911,,
40.0,0.01372,-0.54622,,
40.1,0.00642,-0.55370,,
40.2,-0.00265,-0.56161,,
40.3,-0.01004,-0.56929,,
40.4,-0.01797,-0.57695,,
40.5,-0.02495,-0.58437,,
40.6,-0.03158,-0.59200,,
40.7,-0.04019,-0.60019,,
40.8,-0.04922,-0.60896,,
40.9,-0.05850,-0.61841,,
41.0,-0.06855,-0.62807,,
41.1,-0.07896,-0.63760,,
41.2,-0.08814,-0.64615,,
41.3,-0.09600,-0.65322,,
41.4,-0.10060,-0.65823,,
41.5,-0.10313,-0.66153,,
41.6,-0.10435,-0.66335,,
41.7,-0.10544,-0.66436,,
41.8,-0.10572,-0.66486,,
41.9,-0.10554,-0.66447,,
42.0,-0.10445,-0.66355,,
42.1,-0.10362,-0.66195,,
42.2,-0.10099,-0.65921,,
42.3,-0.09693,-0.65572,,
42.4,-0.09172,-0.65207,,
42.5,-0.08759,-0.64970,,
42.6,-0.08696,-0.64916,,
42.7,-0.09089,-0.65374,,
42.8,-0.09896,-0.66106,,
42.9,-0.11064,-0.67137,,
43.0,-0.12341,-0.68343,,
43.1,-0.13717,-0.69677,,
43.2,-0.15047,-0.71059,,
43.3,-0.16520,-0.72534,,
43.4,-0.18030,-0.74083,,
43.5,-0.19714,-0.75770,,
43.6,-0.21503,-0.77574,,
43.7,-0.23483,-0.79509,,
43.8,-0.25555,-0.81495,,
43.9,-0.27659,-0.83477,,
44.0,-0.29563,-0.85346,,
44.1,-0.31289,-0.87032,,
44.2,-0.32795,-0.88465,,
44.3,-0.33942,-0.89625,,
44.4,-0.34749,-0.90491,,
44.5,-0.35381,-0.91069,,
44.6,-0.35674,-0.91407,,
44.7,-0.35633,-0.91369,,
44.8,-0.35350,-0.91164,,
44.9,-0.34889,-0.90788,,
45.0,-0.34433,-0.90325,,
45.1,-0.33879,-0.89815,,
45.2,-0.33311,-0.89293,,
45.3,-0.32843,-0.88770,,
45.4,-0.32328,-0.88205,,
45.5,-0.31760,-0.87570,,
45.6,-0.31005,-0.86800,,
45.7,-0.30071,-0.85890,,
45.8,-0.28976,-0.84839,,
45.9,-0.27806,-0.83677,,
46.0,-0.26548,-0.82439,,
46.1,-0.25200,-0.81171,,
46.2,-0.23900,-0.79923,,
46.3,-0.22718,-0.78753,,
46.4,-0.21618,-0.77685,,
46.5,-0.20706,-0.76715,,
46.6,-0.19894,-0.75813,,
46.7,-0.18995,-0.74944,,
46.8,-0.18113,-0.74100,,
46.9,-0.17303,-0.73263,,
47.0,-0.16524,-0.72424,,
47.1,-0.15684,-0.71588,,
47.2,-0.14739,-0.70758,,
47.3,-0.13937,-0.70012,,
47.4,-0.13269,-0.69398,,
47.5,-0.12852,-0.69007,,
47.6,-0.12665,-0.68769,,
47.7,-0.12811,-0.68943,,
47.8,-0.13192,-0.69215,,
47.9,-0.13671,-0.69607,,
48.0,-0.14101,-0.70046,,
