

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15121    0.141    0.000    0.308    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:1884(identity)
    17848    0.250    0.000    0.301    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2541(nonsingular)
     2067    0.008    0.000    0.297    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2521(get_transformed_path_and_affine)
9105/6149    0.031    0.000    0.286    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2143(__eq__)
      871    0.027    0.000    0.281    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:161(draw_text)
38347/24650    0.127    0.000    0.281    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:133(_invalidate_internal)
     2956    0.039    0.000    0.274    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:222(_xy_from_xy)
        8    0.000    0.000    0.274    0.034 /usr/lib/python2.7/lib-tk/Tkinter.py:1728(__init__)
     5912    0.011    0.000    0.273    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1115(_iter_break_from_left_to_right)
    24407    0.062    0.000    0.273    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:148(convert_xunits)
     5373    0.029    0.000    0.272    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:448(_transform_path)
        8    0.270    0.034    0.270    0.034 {_tkinter.create}
     8876    0.022    0.000    0.266    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1288(update_units)
    42002    0.156    0.000    0.264    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:767(split_line)
    24378    0.060    0.000    0.261    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:158(convert_yunits)
        1    0.000    0.000    0.250    0.250 /usr/lib/python2.7/dist-packages/scipy/signal/_peak_finding.py:3(<module>)
        1    0.002    0.002    0.250    0.250 /usr/lib/python2.7/dist-packages/scipy/stats/__init__.py:317(<module>)
     2894    0.022    0.000    0.249    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:599(_set_tickup)
     2956    0.007    0.000    0.247    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1433(__eq__)
        1    0.006    0.006    0.246    0.246 /usr/lib/python2.7/dist-packages/scipy/stats/stats.py:165(<module>)
